Normal 0,Normal 1,Normal 2,Normal 3,Normal 4,Normal 5,Normal 6,Normal 7,Normal 8,Normal 9,Normal 10,Normal 11,Normal 12,Normal 13,Normal 14,Normal 15,Normal 16,Normal 17
94.5185,,,,,,,,,,,,,102.9283,,,,
95.28529,,,,,,,,,,,,,101.8251,,,,
95.1785,,,,,,,,,,,,,103.4551,,,,
94.181,,,,,,,,,,,,,103.086,,,,
94.31281,,,,,,,,,,,,,103.0814,,,,
94.97781,,,,,,,,,,,,,101.9207,,,,
96.16,,,,,,,,,,,,,102.0589,,,,
96.1741,,,,,,,,,,,,,101.7008,,,,
97.3051,,,,,,,,,,,,,99.29739,,,,
97.57159,,,,,,,,,,,,,100.6747,,,,
98.8086,,,,,,,,,,,,,102.2528,,,,
97.2454,,,,,,,,,,,,,103.3799,,,,
97.9398,,,,,,,,,,,,,104.7781,,,,
99.6157,,,,,,,,,,,,,106.0391,,,,
100.1834,,,,,,,,,,,,,106.2512,,,,
99.6648,,,,,,,,,,,,,102.7945,,,,
99.5267,,,,,,,,,,,,,101.4246,,,,
98.6411,,,,,,,,,,,,,101.6446,,,,
99.3128,,,,,,,,,,,,,104.4094,,,,
98.6951,,,,,,,,,,,,,103.2789,,,,
96.8768,,,,,,,,,,,,,103.6301,,,,
97.8302,,,,,,,,,,,,,102.8865,,,,
98.87109,,,,,,,,,,,,,102.5995,,,,
99.5813,,,,,,,,,,,,,102.04,,,,
101.1573,,,,,,,,,,,,,102.6143,,,,
99.1178,,,,,,,,,,,,,102.1956,,,,
100.1281,,,,,,,,,,,,,103.4652,,,,
100.0053,,,,,,,,,,,,,103.2376,,,,
99.3473,,,,,,,,,,,,,101.3364,,,,
99.1712,,,,,,,,,,,,,100.1144,,,,
101.2419,,,,,,,,,,,,,99.5267,,,,
98.3174,,,,,,,,,,,,,100.6365,,,,
97.7617,,,,,,,,,,,,,103.4768,,,,
97.5145,,,,,,,,,,,,,101.8586,,,,
96.243,,,,,,,,,,,,,103.4907,,,,
96.4407,,,,,,,,,,,,,102.4534,,,,
97.4847,,,,,,,,,,,,,101.0666,,,,
96.8304,,,,,,,,,,,,,99.7956,,,,
97.1333,,,,,,,,,,,,,99.11839,,,,
97.2818,,,,,,,,,,,,,100.4529,,,,
97.1726,,,,,,,,,,,,,100.0826,,,,
97.2859,,,,,,,,,,,,,98.2132,,,,
98.0978,,,,,,,,,,,,,98.48579,,,,
98.5991,,,,,,,,,,,,,99.8139,,,,
97.4818,,,,,,,,,,,,,99.0697,,,,
96.61,,,,,,,,,,,,,98.3785,,,,
94.9931,,,,,,,,,,,,,96.851,,,,
95.6405,,,,,,,,,,,,,96.6552,,,,
96.73351,,,,,,,,,,,,,96.9603,,,,
97.4539,,,,,,,,,,,,,97.5449,,,,
96.1955,,,,,,,,,,,,,98.47279,,,,
97.7579,,,,,,,,,,,,,97.2894,,,,
97.84019,,,,,,,,,,,,,96.5704,,,,
97.8976,,,,,,,,,,,,,96.962,,,,
97.89861,,,,,,,,,,,,,98.0895,,,,
97.4549,,,,,,,,,,,,,98.655,,,,
97.051,,,,,,,,,,,,,98.25249,,,,
