24/02/2015 11:20,30/04/2015 13:10,22/06/2015 07:31,20/10/2015 09:18
953.5,1.1754939999999999e-38,959.0,964.2
953.5,1.1754939999999999e-38,959.0,964.2
953.5,1.1754939999999999e-38,959.0,964.6
953.5,1.1754939999999999e-38,959.0,964.6
953.5,1.1754939999999999e-38,959.0,964.6
953.5,1.1754939999999999e-38,959.0,964.6
953.5,1.1754939999999999e-38,959.0,964.6
953.5,1.1754939999999999e-38,959.0,964.6
953.5,1.1754939999999999e-38,959.0,964.6
953.5,1.1754939999999999e-38,959.2,964.6
953.5,957.7,959.2,964.6
953.5,957.7,959.2,964.6
953.5,957.7,959.2,964.7
953.5,957.7,959.2,964.7
953.5,957.7,959.2,964.7
953.5,957.7,959.2,964.7
953.5,957.7,959.2,964.7
953.5,957.7,959.2,964.7
953.5,957.7,959.2,964.7
953.5,957.7,959.1,964.7
953.3,957.6,959.1,964.7
953.3,957.6,959.1,964.7
953.3,957.6,959.1,964.7
953.3,957.6,959.1,964.7
953.3,957.6,959.1,964.7
953.3,957.6,959.1,964.7
953.3,957.6,959.1,964.7
953.3,957.6,959.1,964.7
953.3,957.6,959.1,964.7
953.3,957.6,959.1,964.7
953.4,957.6,959.1,964.7
953.4,957.6,959.1,964.7
953.4,957.6,959.1,964.7
953.4,957.6,959.1,964.7
953.4,957.6,959.1,964.7
953.4,957.6,959.1,964.7
953.4,957.6,959.1,964.7
953.4,957.6,959.1,964.7
953.4,957.6,959.1,964.7
953.4,957.6,959.1,964.7
953.5,957.6,959.1,964.7
953.5,957.6,959.1,964.7
953.5,957.6,959.1,964.6
953.5,957.6,959.1,964.6
953.5,957.6,959.1,964.6
953.5,957.6,959.1,964.6
953.5,957.6,959.1,964.6
953.5,957.6,959.1,964.6
953.5,957.6,959.1,964.6
953.5,957.6,959.0,964.6
953.6,957.4,959.0,964.6
953.6,957.4,959.0,964.6
953.6,957.4,959.0,964.5
953.6,957.4,959.0,964.5
953.6,957.4,959.0,964.5
953.6,957.4,959.0,964.5
953.6,957.4,959.0,964.5
953.6,957.4,959.0,964.5
953.6,957.4,959.0,964.5
953.6,957.4,959.0,964.5
953.6,957.4,959.0,964.5
953.6,957.4,959.0,964.5
953.6,957.4,959.0,964.4
953.6,957.4,959.0,964.4
953.6,957.4,959.0,964.4
953.6,957.4,959.0,964.4
953.6,957.4,959.0,964.4
953.6,957.4,959.0,964.4
953.6,957.4,959.0,964.4
953.6,957.4,959.0,964.4
953.6,957.4,959.0,964.4
953.6,957.4,959.0,964.4
953.6,957.4,959.0,964.5
953.6,957.4,959.0,964.5
953.6,957.4,959.0,964.5
953.6,957.4,959.0,964.5
953.6,957.4,959.0,964.5
953.6,957.4,959.0,964.5
953.6,957.4,959.0,964.5
953.6,957.4,958.9,964.5
953.6,957.5,958.9,964.5
953.6,957.5,958.9,964.5
953.6,957.5,958.9,964.5
953.6,957.5,958.9,964.5
953.6,957.5,958.9,964.5
953.6,957.5,958.9,964.5
953.6,957.5,958.9,964.5
953.6,957.5,958.9,964.5
953.6,957.5,958.9,964.5
953.6,957.5,958.9,964.5
953.6,957.6,958.9,964.5
953.6,957.6,958.9,964.5
953.6,957.6,958.9,964.6
953.6,957.6,958.9,964.6
953.6,957.6,958.9,964.6
953.6,957.6,958.9,964.6
953.6,957.6,958.9,964.6
953.6,957.6,958.9,964.6
953.6,957.6,958.9,964.6
953.6,957.6,958.8,964.6
953.6,957.6,958.8,964.6
953.6,957.6,958.8,964.6
953.6,957.6,958.8,964.4
953.6,957.6,958.8,964.4
953.6,957.6,958.8,964.4
953.6,957.6,958.8,964.4
953.6,957.6,958.8,964.4
953.6,957.6,958.8,964.4
953.6,957.6,958.8,964.4
953.6,957.6,958.6,964.4
953.6,957.6,958.6,964.4
